DeviceId,"Explanation.explanation","Explanation.durationMs"
"b64a1de1-edfb-4501-886c-135d71fd3992","USER_COUNT_EXPLANATION_LONG",10425
"c2de18bc-94e4-428a-aad2-be7852f00d66","USER_COUNT_EXPLANATION_SHORT",4784
"614c121f-a6a6-49fe-9a1b-c638f0024695","USER_COUNT_EXPLANATION_SHORT",16477
"614c121f-a6a6-49fe-9a1b-c638f0024695","USER_COUNT_EXPLANATION_LONG",16456
"e7682eb5-c457-4689-8b89-1aef15047aca","USER_COUNT_EXPLANATION_SHORT",1856
"e7682eb5-c457-4689-8b89-1aef15047aca","USER_COUNT_EXPLANATION_LONG",1825
"113df345-8e85-4d43-8839-d4362402c00c","USER_COUNT_EXPLANATION_SHORT",15852
"c2de18bc-94e4-428a-aad2-be7852f00d66","USER_COUNT_EXPLANATION_SHORT",12449
"9c3431e4-53a8-45bc-86b2-3bad67ef9b74","USER_COUNT_EXPLANATION_SHORT",5290
"2d62694c-c425-43df-9d26-b6505027277c","USER_COUNT_EXPLANATION_SHORT",7670
"091c9a79-2658-479f-a042-0b3ba3171054","USER_COUNT_EXPLANATION_SHORT",9060
"486c0ffb-b457-4c0b-a948-e8ffba48552d","USER_COUNT_EXPLANATION_SHORT",4064
"486c0ffb-b457-4c0b-a948-e8ffba48552d","USER_COUNT_EXPLANATION_LONG",4061
"15cc72f7-ad1d-43f7-aa0d-cadf56c060d3","USER_COUNT_EXPLANATION_SHORT",11389
"11af9e6f-59f4-40b1-be83-fbbe99768f35","USER_COUNT_EXPLANATION_SHORT",10859
"11af9e6f-59f4-40b1-be83-fbbe99768f35","USER_COUNT_EXPLANATION_LONG",10856
"4c1c3c67-c4b1-4e39-8155-b821ebab227d","USER_COUNT_EXPLANATION_SHORT",7625
"4c1c3c67-c4b1-4e39-8155-b821ebab227d","USER_COUNT_EXPLANATION_LONG",7617
"dc85b029-d15d-4bb8-9f89-aaf5d699bc08","USER_COUNT_EXPLANATION_SHORT",7040
"07225514-242f-4933-a59b-d7a698301d35","USER_COUNT_EXPLANATION_SHORT",2866
"277b836c-ad1e-4943-bc9e-25ede97e8fe5","USER_COUNT_EXPLANATION_SHORT",3872
"1240b187-42ff-4dfc-8ba2-319fbe1876f9","USER_COUNT_EXPLANATION_SHORT",4780
"1240b187-42ff-4dfc-8ba2-319fbe1876f9","USER_COUNT_EXPLANATION_LONG",4774
"dad15d5c-d542-4c00-bedc-2b07faede692","USER_COUNT_EXPLANATION_SHORT",10565
"20cb41c8-fb6d-4b13-ae0a-37cd026dffb0","USER_COUNT_EXPLANATION_SHORT",10203
"e8bbeebb-13fe-46b5-83dd-8a3357ad8258","USER_COUNT_EXPLANATION_SHORT",9551
"d9c845b3-a2f1-4ac8-b7ab-689417b2c7f1","USER_COUNT_EXPLANATION_SHORT",1954
"d9c845b3-a2f1-4ac8-b7ab-689417b2c7f1","USER_COUNT_EXPLANATION_SHORT",3695
"d9c845b3-a2f1-4ac8-b7ab-689417b2c7f1","USER_COUNT_EXPLANATION_LONG",3677
"ad72f466-08fb-4240-b147-b2868c284954","USER_COUNT_EXPLANATION_SHORT",13950
"ad72f466-08fb-4240-b147-b2868c284954","USER_COUNT_EXPLANATION_LONG",13946
"465078fc-d42b-4096-ad4c-b59d011e47b8","USER_COUNT_EXPLANATION_LONG",2734
"465078fc-d42b-4096-ad4c-b59d011e47b8","USER_COUNT_EXPLANATION_SHORT",2745
"465078fc-d42b-4096-ad4c-b59d011e47b8","USER_COUNT_EXPLANATION_SHORT",2281
"465078fc-d42b-4096-ad4c-b59d011e47b8","USER_COUNT_EXPLANATION_LONG",2273
"17745524-9831-4d77-b52e-e3389a79c5d3","USER_COUNT_EXPLANATION_SHORT",5300
"a322ef0e-6a2b-405c-bfcf-bb22f79ae988","USER_COUNT_EXPLANATION_SHORT",11764
"500a2d26-9c8c-412c-bf13-a460b8ca87f6","USER_COUNT_EXPLANATION_SHORT",2319
"500a2d26-9c8c-412c-bf13-a460b8ca87f6","USER_COUNT_EXPLANATION_LONG",2304
"c3645c75-c241-4cfd-9b42-fe83ea13eeed","USER_COUNT_EXPLANATION_SHORT",18102
"c3645c75-c241-4cfd-9b42-fe83ea13eeed","USER_COUNT_EXPLANATION_LONG",18100
"e507b8ba-0247-4cd0-9411-a36c2ee92e5a","USER_COUNT_EXPLANATION_SHORT",3312
"6085d9c1-4da0-476e-ba8e-12328bb5b8ea","USER_COUNT_EXPLANATION_SHORT",5236
"6085d9c1-4da0-476e-ba8e-12328bb5b8ea","USER_COUNT_EXPLANATION_LONG",5222
"a42cb4d8-6422-4a84-aa76-d58f3dbfa86e","USER_COUNT_EXPLANATION_SHORT",4810
"a42cb4d8-6422-4a84-aa76-d58f3dbfa86e","USER_COUNT_EXPLANATION_LONG",4808
